param_1,param_2,param_3,num_active,energy_observed,energy_true
0.07069726298126072,0.5488011063606947,0.38050163065804443,3,8976.42995025987,8952.83958932773
0.345559925109271,0.5232368724488128,0.1312032024419161,3,3083.025272394593,3122.749040801154
0.32312075831236037,0.043172666258858426,0.6337065754287812,3,7792.469704812904,7794.09453196348
0.0,0.0,1.0,1,42653.66277714624,42193.15474594989
0.0,1.0,0.0,1,208565.6771058289,207621.3801495979
0.24492010828846594,0.4316458871177465,0.3234340045937876,3,553.7273915199556,553.6399275027195
0.7863436379828207,0.12094376747514494,0.0927125945420344,3,39350.04875202285,39771.56893725656
0.0,1.0,0.0,1,206010.20936504324,207621.3801495979
0.6842860877970981,0.1168507099425943,0.19886320226030754,3,18289.328505657515,18495.150320909263
0.0,0.3347627623220649,0.6652372376779351,2,25850.127574608283,25927.604992005457
0.10949598943519176,0.8777086435721796,0.012795366992628511,3,93913.75163489264,93432.7181315016
0.2175123143898615,0.0,0.7824876856101385,2,13362.38834846475,13520.404723112251
1.0,0.0,0.0,1,193780.23618633256,192112.6086523819
0.6678658279156662,0.0,0.3321341720843338,2,32213.778525196496,31736.428749843326
0.5557318917791509,0.31841235258932354,0.12585575563152543,3,1945.9498402298464,1954.4064009771434
0.0,0.0,1.0,1,42230.30269853665,42193.15474594989
0.0,0.2569322947527986,0.7430677052472013,2,28122.24906320912,28328.243006272438
0.0,1.0,0.0,1,204760.48181853787,207621.3801495979
0.016413303985446617,0.40213542427570903,0.5814512717388444,3,19871.35649693488,19766.417569890637
0.0269189884342076,0.5162051463681092,0.45687586519768314,3,14633.65913111234,14840.79378541135
0.382624774832947,0.12035839913095742,0.49701682603609565,3,3175.548296430051,3190.4337238916355
0.0,1.0,0.0,1,204614.8552921933,207621.3801495979
1.0,0.0,0.0,1,187495.9537109035,192112.6086523819
0.6004251934841035,0.08130149273705764,0.3182733137788388,3,12932.779700803485,12832.374228570177
0.0,0.0,1.0,1,42606.17494531725,42193.15474594989
0.060699928754770933,0.6404699874541425,0.2988300837910864,3,14933.631266005856,14797.930993473872
0.48187615252157545,0.17975008621796312,0.3383737612604614,3,2422.2824663114216,2423.326685001629
0.0,0.5443807465184429,0.455619253481557,2,19805.897725392213,19831.272079730716
