param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,num_active,energy_observed,energy_true
0.00011520043281154777,0.13986313938550302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1420991989740559,0.0,0.7179224612076296,0.0,0.0,4,777528.6924672928,775451.1936133243
0.0,0.5312833105502575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4687166894497425,0.0,0.0,2,774084.8899663304,784563.7417406879
0.0,0.0,0.0,0.0,0.36008235079487894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19155548550069615,0.0,0.4483621637044249,0.0,0.0,3,780068.5683203998,780234.3646370386
0.0,0.0,0.3297802158264192,0.0,0.0,0.6414486190200519,0.0,0.0,0.0,0.0,0.028771165153528983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,864005.7975460831,854646.4872517886
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.850126431168043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14987356883195704,0.0,2,847361.3461310583,843522.7834739055
0.0,0.0,0.0,0.15117338212285203,0.0,0.0,0.030707127636085046,0.0,0.5907308931747371,0.1685283076806418,0.0,0.0,0.0,0.0,0.0,0.0,0.05886028938568407,0.0,0.0,0.0,5,690237.7559446665,690088.5683824705
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575556589001617,0.0,0.4424443410998384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,809021.5337302671,817719.1924034801
0.0,0.510273562386559,0.0,0.0,0.21637802251195576,0.0,0.0,0.13036159244358264,0.0,0.0,0.0,0.07341151471315696,0.0,0.06957530794474548,0.0,0.0,0.0,0.0,0.0,0.0,5,768218.4989148894,774229.7907022057
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636942006997749,0.0,0.0,0.6363057993002251,0.0,2,860612.3658518424,870375.3404001552
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24690503176696954,0.0,0.0,0.04946077625987777,0.23661920116257137,0.07842774757418897,0.0,0.0,0.0,0.38858724323639227,0.0,0.0,5,542120.3759265598,543754.1865772132
