param_1,param_2,param_3,param_4,param_5,num_active,energy_observed,energy_true
0.03379520565476179,0.4853464439664039,0.1893898104687635,0.0,0.29146853991007066,4,132654.397356434,132300.2852599662
0.014064310466222845,0.3100676723354162,0.6756793143071202,0.00018870289124084372,0.0,4,164710.1926649499,166938.29854618042
0.383106266404896,0.5582089564092256,0.017506741379630764,0.005320775810245288,0.03585725999600232,5,167871.00001757694,167906.65455353714
0.4204504187808209,0.022282044956516634,0.031510862545409205,0.08758498403771732,0.4381716896795359,5,107760.19841944844,106594.30452244535
0.5247537701936844,0.11982553751516314,0.007346321840139527,0.12587820036900718,0.2221961700820057,5,93200.92979446166,92779.32929255748
0.061191333450038556,0.4905034655410365,0.22196598626787342,0.07633067231876982,0.15000854242228145,5,83757.73643474774,83739.66142077486
0.17059826437935102,0.0,0.2027023490471817,0.0,0.6266993865734671,3,124407.76191793707,125743.89233282197
0.10703468043495121,0.09397238307697109,0.16661697608613327,0.4069313999695721,0.2254445604323725,5,27001.97158603246,27212.13509026147
0.19131761182814902,0.2095508288288957,0.010018696002835373,0.028648098319133956,0.560464765020986,5,120622.36214388754,121989.27345658359
0.022462086588681755,0.43073849983564316,0.03595781520277582,0.38123220229584165,0.1296093960770576,5,44598.30243081774,44732.29754933126
0.0,0.18384783816612127,0.030695386868991547,0.6113436214873939,0.17411315347749332,4,53665.179918863956,53390.63064428702
0.28021263795055373,0.02495213593630262,0.2887337024991584,0.2447027135180663,0.16139881009591894,5,32577.22878097939,32965.034352241615
0.7104642270224691,0.0369310560055613,0.0,0.1818142259313239,0.07079049104064573,4,109177.3540378558,108238.36000227722
0.0,0.0,0.35181779867960145,0.0,0.6481822013203985,2,145810.4759620087,143641.99921917534
0.40822139034679167,0.22806655261217415,0.1755477649848748,0.18816429205615945,0.0,4,39080.749248895634,39263.97913741367
0.0,0.5487480813683646,0.05079492359025177,0.4004569950413836,0.0,3,46145.589352117284,46104.9851044054
